name,birth,draft-year,round,order,position,status,leave-year
張育成,1995-08-18,2024,1,1,IF,fubon,
張奕,1994-02-26,2024,2,7,P,fubon,
陳鐿中,2002-09-09,2024,3,13,P,fubon,
陳品宏,2005-01-13,2024,4,19,P,fubon,
盧柏華,2003-09-14,2024,5,25,C,fubon,
楊閔貽,2002-03-07,2024,6,31,IF,fubon,
黃英奇,2005-10-01,2024,7,37,P,fubon,
潘瑋祥,2002-09-04,2024,8,42,OF,fubon,
王念好,2005-04-29,2023,1,2,IF,fubon,
陳聖文,2003-06-30,2023,2,9,P,fubon,
林旺熙,2003-08-26,2023,3,16,P,fubon,
高捷,2002-08-22,2023,4,22,IF,fubon,
林育辰,2005-08-15,2023,5,28,P,fubon,
李祐賢,2005-07-06,2023,6,34,P,fubon,
陳愷佑,2004-07-02,2023,7,39,IF,fubon,
林莛淯,2001-04-16,2023,8,43,OF,fubon,
黃保羅,2004-04-16,2022,1,3,P,fubon,
潘奕誠,2000-09-16,2022,2,10,P,fubon,
池恩齊,2003-08-03,2022,3,17,IF,fubon,
蔡佳諺,2002-07-09,2022,4,24,OF,fubon,
林岳谷,2001-10-20,2022,5,31,IF,fubon,
周佳樂,1999-12-02,2022,6,37,OF,fubon,
林栚呈,2000-06-07,2022,7,43,P,fubon,
郭泰呈,2003-11-17,2022,8,48,P,fubon,
黃子宸,2003-07-01,2022,9,53,P,fubon,
賴柏均,2001-08-01,2022,10,56,IF,leave,2024
豊暐,1999-10-02,2022,11,58,C,fubon,
江少慶,1993-11-10,2021,1,1,P,fubon,
王苡丞,2003-05-01,2021,2,6,IF,fubon,
董子恩,2003-02-28,2021,3,11,IF,fubon,
孔念恩,2003-09-01,2021,4,16,OF,fubon,
李子強,1999-12-29,2021,5,21,P,fubon,
楊強森,2002-09-22,2021,6,26,P,unilions,2024
張宥鈞,2003-02-16,2021,7,31,OF,leave,2024
岳少華,1999-06-01,2021,8,36,P,fubon,
張進德,1993-05-17,2020,1,3,C,fubon,
郭俊麟,1992-02-02,2020,2,9,P,unilions,2023
陳真,1998-10-22,2020,3,15,OF,fubon,
葉子霆,1998-01-07,2020,4,20,IF,fubon,
林詠翔,2001-09-17,2020,5,25,P,leave,2022
黃兆維,2001-11-03,2020,6,30,IF,fubon,
曾峻岳,2001-11-07,2020,7,35,P,fubon,
許宸銘,1997-11-06,2020,8,40,IF,leave,2022
周奕丞,1997-11-06,2020,9,45,IF,leave,2022
江國豪,1997-12-29,2019,1,3,P,fubon,
朱益生,1999-10-01,2019,2,9,P,leave,2023
林聖榮,2001-06-04,2019,3,15,P,leave,2021
姚冠瑋,1996-01-11,2019,4,21,C,fubon,
林奕豪,2000-10-30,2019,5,27,OF,leave,2022
戴云真,1997-04-20,2019,6,32,OF,leave,2024
葉國情,2001-02-14,2019,7,37,P,leave,2021
楊程皓,1996-12-13,2019,8,41,P,leave,2020
辛元旭,1999-06-04,2019,9,43,IF,fubon,
李建勳,1996-09-08,2019,10,45,P,fubon,
戴培峰,2000-01-07,2018,1,1,C,fubon,
王正棠,1995-09-17,2018,2,5,IF,fubon,
陳品學,1994-07-08,2018,3,9,P,leave,2020
胡冠俞,2000-05-18,2018,4,13,IF,tsg,2022
王尉永,1995-09-18,2018,5,17,P,fubon,
楊彬,1996-01-18,2018,6,21,P,rakuten,2022
王詩聰,1995-08-08,2018,7,25,OF,leave,2023
歐書誠,1993-02-11,2018,8,29,P,fubon,
蕭憶銘,1999-11-21,2018,9,31,C,fubon,
曾慈恩,1999-01-11,2018,10,32,C,leave,2020
楊晉豪,1998-09-16,2017,1,4,IF,rakuten,2022
陳品捷,1991-07-23,2017,2,8,IF,leave,2020
羅國華,1992-10-28,2017,3,12,P,leave,2021
吳世豪,1999-01-13,2017,4,16,P,fubon,
范國宸,1994-11-25,2017,5,20,IF,fubon,
陳韋奇,1994-10-15,2017,6,24,OF,leave,2020
陳勤宗,1993-02-27,2017,7,28,IF,leave,2019